order	romanization	user_segmentation	notes
1	ohorahiirime	o|hora|crime	
2	hetraheteoa	hetra|he|teoa	
3	hlaolmethotra	laol|met|otra	user omits initial h from flat romanization
4	ohrahorahiirime	ora|hora|crime	user omits h after initial o; may imply mutation/compression
5	hetecrime	hete|crime	
6	hlaolmethohimirriaa	laol|meto|imir|ria	user omits initial h and final a from flat romanization
7	heteohorahiirimehra	heteo|hora|cri|mera	
8	hrahetehtra	rae|tetra	major reinterpretation
9	heteohorahra	heteo|hora|ra	alternative: e|teo|orara
10	ololhateohra	olola|teora	
11	olaolhateoa	olaol|hate|oa	
12	hatehtluoltra	ate|tluol|tra	alternative: atet|luol|tra
13	ocrinehatehra	o|crine|atera	
14	horahinirriaa	hora|inir|ria	
15	hateoirime	ateo|ir|ime	
16	loliocrima	loli|o|crima	
17	horahimirrii	ora|hi|mirrii	
18	hetoh	eto	
19	tlolmehtoa	tlolme|toa	
20	heteohorahra	eteo|hora|ra	
21	horahinirrii	hora|hi|nirrii	
22	oirine	oi|rine	
23	lhaoltohorahra	laol|to|hora|ra	
