unit_id	page	paragraph	line	token_index	eva
f1r-p1-u001	f1r	1	1	1	fachys
f1r-p1-u002	f1r	1	1	2	ykal
f1r-p1-u003	f1r	1	1	3	ar
f1r-p1-u004	f1r	1	1	4	ataiin
f1r-p1-u005	f1r	1	1	5	shol
f1r-p1-u006	f1r	1	1	6	shory
f1r-p1-u007	f1r	1	1	7	cthres
f1r-p1-u008	f1r	1	1	8	y
f1r-p1-u009	f1r	1	1	9	kor
f1r-p1-u010	f1r	1	1	10	sholdy
f1r-p1-u011	f1r	1	2	1	sory
f1r-p1-u012	f1r	1	2	2	ckhar
f1r-p1-u013	f1r	1	2	3	or
f1r-p1-u014	f1r	1	2	4	y
f1r-p1-u015	f1r	1	2	5	kair
f1r-p1-u016	f1r	1	2	6	chtaiin
f1r-p1-u017	f1r	1	2	7	shar
f1r-p1-u018	f1r	1	2	8	are
f1r-p1-u019	f1r	1	2	9	cthar
f1r-p1-u020	f1r	1	2	10	cthar
f1r-p1-u021	f1r	1	2	11	dan
f1r-p1-u022	f1r	1	3	1	syaiir
f1r-p1-u023	f1r	1	3	2	sheky
f1r-p1-u024	f1r	1	3	3	or
f1r-p1-u025	f1r	1	3	4	ykaiin
f1r-p1-u026	f1r	1	3	5	shod
f1r-p1-u027	f1r	1	3	6	cthoary
f1r-p1-u028	f1r	1	3	7	cthes
f1r-p1-u029	f1r	1	3	8	daraiin
f1r-p1-u030	f1r	1	3	9	sa
f1r-p1-u031	f1r	1	4	1	ooiin
f1r-p1-u032	f1r	1	4	2	oteey
f1r-p1-u033	f1r	1	4	3	oteos
f1r-p1-u034	f1r	1	4	4	roloty
f1r-p1-u035	f1r	1	4	5	cth?ar
f1r-p1-u036	f1r	1	4	6	daiin
f1r-p1-u037	f1r	1	4	7	otaiin
f1r-p1-u038	f1r	1	4	8	or
f1r-p1-u039	f1r	1	4	9	okan
f1r-p1-u040	f1r	1	5	1	dair
f1r-p1-u041	f1r	1	5	2	y
f1r-p1-u042	f1r	1	5	3	chear
f1r-p1-u043	f1r	1	5	4	cthaiin
f1r-p1-u044	f1r	1	5	5	cphar
f1r-p1-u045	f1r	1	5	6	cfhaiin
f1r-p1-u046	f1r	1	5	7	ydaraishy
f1r-p2-u047	f1r	2	7	1	odar
f1r-p2-u048	f1r	2	7	2	o
f1r-p2-u049	f1r	2	7	3	y
f1r-p2-u050	f1r	2	7	4	shol
f1r-p2-u051	f1r	2	7	5	cphoy
f1r-p2-u052	f1r	2	7	6	oydar
f1r-p2-u053	f1r	2	7	7	sh
f1r-p2-u054	f1r	2	7	8	s
f1r-p2-u055	f1r	2	7	9	cfhoaiin
f1r-p2-u056	f1r	2	7	10	shodary
f1r-p2-u057	f1r	2	8	1	yshey
f1r-p2-u058	f1r	2	8	2	shody
f1r-p2-u059	f1r	2	8	3	okchoy
f1r-p2-u060	f1r	2	8	4	otchol
f1r-p2-u061	f1r	2	8	5	chocthy
f1r-p2-u062	f1r	2	8	6	oschy
f1r-p2-u063	f1r	2	8	7	dain
f1r-p2-u064	f1r	2	8	8	chor
f1r-p2-u065	f1r	2	8	9	kos
f1r-p2-u066	f1r	2	9	1	daiin
f1r-p2-u067	f1r	2	9	2	shos
f1r-p2-u068	f1r	2	9	3	cfhol
