folio	line	region_id	eva_token_sequence	eva_token_count	eva_symbol_count	atoms_unit_sequence	atoms_unit_count	atoms_symbol_count	relation_type	alignment_confidence	coordinate_evidence	ambiguity_note
f1r	1	f1r-l1-r001	fachys ykal ar	3	12	p003-u001 p003-u002 p003-u003	3	31	N:M	low	atoms_x=545-1088; eva_ordinal=1-3/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=10 atoms=9; grouped relation; inspect visually before token-level use
f1r	1	f1r-l1-r002	ataiin shol shory cthres y kor sholdy	7	31	p003-u004 p003-u005 p003-u006 p003-u007 p003-u008 p003-u009	6	67	N:M	low	atoms_x=1117-2397; eva_ordinal=4-10/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=10 atoms=9; grouped relation; inspect visually before token-level use
f1r	2	f1r-l2-r001	sory	1	4	p003-u010	1	9	1:1	low-medium	atoms_x=565-721; eva_ordinal=1-1/11; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=11 atoms=9
f1r	2	f1r-l2-r002	ckhar or y kair chtaiin shar are cthar	8	31	p003-u011 p003-u012 p003-u013 p003-u014 p003-u015 p003-u016 p003-u017	7	67	N:M	low	atoms_x=772-2046; eva_ordinal=2-9/11; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=11 atoms=9; grouped relation; inspect visually before token-level use
f1r	2	f1r-l2-r003	cthar dan	2	8	p003-u018	1	21	N:1	low	atoms_x=2077-2406; eva_ordinal=10-11/11; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=11 atoms=9; grouped relation; inspect visually before token-level use
f1r	3	f1r-l3-r001	syaiir sheky or ykaiin	4	19	p003-u019 p003-u020 p003-u021 p003-u022 p003-u023	5	38	N:M	low	atoms_x=513-1321; eva_ordinal=1-4/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=10; grouped relation; inspect visually before token-level use
f1r	3	f1r-l3-r002	shod cthoary cthes daraiin sa	5	25	p003-u024 p003-u025 p003-u026 p003-u027 p003-u028	5	55	N:M	low	atoms_x=1365-2385; eva_ordinal=5-9/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=10; grouped relation; inspect visually before token-level use
f1r	4	f1r-l4-r001	ooiin oteey oteos roloty cth?ar daiin otaiin or okan	9	44	p003-u029 p003-u030 p003-u031 p003-u032 p003-u033 p003-u034 p003-u035 p003-u036	8	89	N:M	low	atoms_x=577-2389; eva_ordinal=1-9/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=8; grouped relation; inspect visually before token-level use
f1r	5	f1r-l5-r001	dair y chear cthaiin cphar	5	22	p003-u037 p003-u038 p003-u039 p003-u040 p003-u041	5	62	N:M	low	atoms_x=584-1693; eva_ordinal=1-5/7; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=7 atoms=6; grouped relation; inspect visually before token-level use
f1r	5	f1r-l5-r002	cfhaiin ydaraishy	2	16	p003-u042	1	19	N:1	low	atoms_x=2015-2357; eva_ordinal=6-7/7; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=7 atoms=6; grouped relation; inspect visually before token-level use
f1r	7	f1r-l7-r001	odar	1	4	p003-u043	1	9	1:1	low-medium	atoms_x=780-897; eva_ordinal=1-1/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=10 atoms=7
f1r	7	f1r-l7-r002	o y shol	3	6	p003-u044 p003-u045	2	24	N:M	low	atoms_x=947-1405; eva_ordinal=2-4/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=10 atoms=7; grouped relation; inspect visually before token-level use
f1r	7	f1r-l7-r003	cphoy oydar sh s cfhoaiin shodary	6	28	p003-u046 p003-u047 p003-u048 p003-u049	4	50	N:M	low	atoms_x=1456-2357; eva_ordinal=5-10/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=10 atoms=7; grouped relation; inspect visually before token-level use
f1r	8	f1r-l8-r001	yshey shody	2	10	p003-u050 p003-u051	2	18	N:M	low	atoms_x=572-927; eva_ordinal=1-2/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	8	f1r-l8-r002	okchoy	1	6	p003-u052	1	11	1:1	medium	atoms_x=976-1153; eva_ordinal=3-3/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.
f1r	8	f1r-l8-r003	otchol chocthy oschy dain chor kos	6	29	p003-u053 p003-u054 p003-u055 p003-u056 p003-u057 p003-u058	6	58	N:M	low	atoms_x=1202-2367; eva_ordinal=4-9/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	9	f1r-l9-r001	daiin shos cfhol	3	14	p003-u059 p003-u060 p003-u061 p003-u062	4	39	N:M	low	atoms_x=568-1295; eva_ordinal=1-3/7; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	9	f1r-l9-r002	os teody	2	7	p003-u063 p003-u064 p003-u065	3	25	N:M	low	atoms_x=1854-2288; eva_ordinal=6-7/7; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	11	f1r-l11-r001	ydain cphesaiin ol	3	16	p003-u066 p003-u067 p003-u068	3	36	N:M	low	atoms_x=664-1300; eva_ordinal=1-3/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=8 atoms=7; grouped relation; inspect visually before token-level use
f1r	11	f1r-l11-r002	s	1	1	p003-u069	1	13	1:1	low-medium	atoms_x=1332-1484; eva_ordinal=4-4/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=8 atoms=7
f1r	11	f1r-l11-r003	cphey	1	5	p003-u070	1	12	1:1	low-medium	atoms_x=1539-1731; eva_ordinal=5-5/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=8 atoms=7
f1r	11	f1r-l11-r004	ytain shoshy cphodales	3	20	p003-u071 p003-u072	2	33	N:M	low	atoms_x=1775-2372; eva_ordinal=6-8/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=8 atoms=7; grouped relation; inspect visually before token-level use
f1r	12	f1r-l12-r001	oksho	1	5	p003-u073	1	10	1:1	low-medium	atoms_x=566-746; eva_ordinal=1-1/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=8 atoms=10
f1r	12	f1r-l12-r002	kshoy otairin	2	12	p003-u074 p003-u075	2	26	N:M	low	atoms_x=790-1230; eva_ordinal=2-3/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=8 atoms=10; grouped relation; inspect visually before token-level use
f1r	12	f1r-l12-r003	oteol	1	5	p003-u076 p003-u077	2	22	1:N	low	atoms_x=1263-1460; eva_ordinal=4-4/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=8 atoms=10; grouped relation; inspect visually before token-level use
f1r	12	f1r-l12-r004	okan	1	4	p003-u078	1	11	1:1	low-medium	atoms_x=1516-1668; eva_ordinal=5-5/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=8 atoms=10
f1r	12	f1r-l12-r005	shodain sckhey daiin	3	18	p003-u079 p003-u080 p003-u081 p003-u082	4	47	N:M	low	atoms_x=1700-2355; eva_ordinal=6-8/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=8 atoms=10; grouped relation; inspect visually before token-level use
f1r	13	f1r-l13-r001	shoy ckhey	2	9	p003-u083 p003-u084	2	17	N:M	low	atoms_x=565-943; eva_ordinal=1-2/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=6; grouped relation; inspect visually before token-level use
f1r	13	f1r-l13-r002	kodaiin cphy	2	11	p003-u085	1	14	N:1	low	atoms_x=993-1219; eva_ordinal=3-4/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=6; grouped relation; inspect visually before token-level use
f1r	13	f1r-l13-r003	cphodaiils cthey	2	15	p003-u086	1	22	N:1	low	atoms_x=1404-1729; eva_ordinal=5-6/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=6; grouped relation; inspect visually before token-level use
f1r	13	f1r-l13-r004	she oldain d	3	10	p003-u087 p003-u088	2	20	N:M	low	atoms_x=1948-2377; eva_ordinal=7-9/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=6; grouped relation; inspect visually before token-level use
f1r	14	f1r-l14-r001	dain oiin chol odaiin chodain chdy okain dan cthy kod	10	44	p003-u089 p003-u090 p003-u091 p003-u092 p003-u093 p003-u094 p003-u095 p003-u096 p003-u097 p003-u098	10	88	N:M	low	atoms_x=562-2391; eva_ordinal=1-10/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
