page	paragraph	line	locus	marker	source_loci	eva	raw
f47v	1	1	f47v.1,@P0	@P0	f47v.1,@P0	psheot cheor cholsho chopchy sal sary	<%>psheot.cheor.cholsho.chopchy.sal<->sary
f47v	1	2	f47v.2,+P0	+P0	f47v.2,+P0	dsheey shy cphy otchey daiidy chory daiiy	dsheey.shy.cphy.otchey.daiidy.chory<->daiiy
f47v	1	3	f47v.3,+P0	+P0	f47v.3,+P0	shol char oteol dor otchol chkchy daiin	shol.char.oteol.dor.otchol.chkchy<->daiin
f47v	1	4	f47v.4,+P0	+P0	f47v.4,+P0	qotol sheey kol sho keechy qoty cthy	qotol.sheey.kol.sho.keechy.qoty<->cthy
f47v	1	5	f47v.5,+P0	+P0	f47v.5,+P0	dsholy shees chor ody shy sy sary	dsholy.shees.chor.ody.shy.sy<->sary
f47v	1	6	f47v.6,+P0	+P0	f47v.6,+P0	chody cheor saiin dochod chol	chody.cheor.saiin<->dochod<->chol<$>
f47v	1	7	f47v.7,+P0	+P0	f47v.7,+P0	pchodaiin dair dcthy	<%>pchodaiin.dair.dcthy
f47v	1	8	f47v.8,+P0	+P0	f47v.8,+P0	daiin cheotar chodaly sal	daiin.cheotar.chodaly.sal
f47v	1	9	f47v.9,+P0	+P0	f47v.9,+P0	qotcheea chety chol chol dain	qotcheea.chety.chol.chol.dain
f47v	1	10	f47v.10,+P0	+P0	f47v.10,+P0	chotcho ltchey o tcho tchy dy chol chody dar	chotcho.ltchey.o.tcho.tchy.dy<->chol.chody.dar
f47v	1	11	f47v.11,+P0	+P0	f47v.11,+P0	oteey cho chdy chy key chyky dchy daiin chy	oteey.cho.chdy.chy.key.chyky<->dchy.daiin.chy
f47v	1	12	f47v.12,+P0	+P0	f47v.12,+P0	cho cho keesy chy chy cheky chochy daiin	cho.cho.keesy.chy.chy.cheky<->chochy.daiin
f47v	1	13	f47v.13,+P0	+P0	f47v.13,+P0	dshy daiin chdlcty chaiin dcheey otald	dshy.daiin.chdlcty.chaiin<->dcheey.otald
f47v	1	14	f47v.14,+P0	+P0	f47v.14,+P0	chol ctchey	chol.ctchey<$>
